CONDITION,COUNT
Large for dates baby,10
Gastric varices,10
Intestinal varices,2
Mesenteric vein thrombosis,17
Portopulmonary hypertension,3
Bone marrow necrosis,4
Intra-abdominal haemorrhage,56
Walking distance test,1
Connective tissue neoplasm,1
Pus in stool,5
Maternal death during childbirth,1
Drop attacks,20
Hypometabolism,10
Blood immunoglobulin M increased,11
Vascular stent occlusion,11
Acute abdomen,37
Cerebellar hypoplasia,2
Prosopagnosia,8
Nail bed inflammation,9
Neonatal behavioural syndrome,2
Neurodevelopmental disorder,7
Oral neoplasm,8
Streptococcal bacteraemia,21
Diffuse large B-cell lymphoma stage IV,9
Adenocarcinoma of the cervix,7
Epiglottitis,12
Bone density increased,10
Thyroxine increased,12
Bronchomalacia,3
Scapula fracture,10
Application site hypersensitivity,18
Pulmonary mycosis,30
Acute phase reaction,4
Endometrial adenocarcinoma,12
Eye colour change,22
Epiploic appendagitis,1
Oestrogen deficiency,2
Soliloquy,17
Septic arthritis staphylococcal,4
Hypermetabolism,17
Stoma site pruritus,3
Intracranial tumour haemorrhage,10
Morton's neuralgia,15
Post procedural cellulitis,10
Basilar artery stenosis,1
Basilar artery thrombosis,3
Parotid gland haemorrhage,2
Platelet dysfunction,4
Salivary gland pain,4
Choroiditis,8
Hepatitis A,18
Adrenomegaly,3
Gastrointestinal examination,2
Oesophageal mucosal tear,1
Small intestinal resection,28
Adenoviral haemorrhagic cystitis,11
Developmental glaucoma,1
Brain death,27
Exploratory operation,2
Pelvic inflammatory disease,19
Differentiation syndrome,26
Factor XIII Inhibition,4
Factor XIII deficiency,3
Haematoma muscle,39
Drug diversion,49
Cyanopsia,5
Aplasia,68
Enterovirus test positive,2
Echocardiogram,7
Clubbing,9
Nasal turbinate abnormality,1
Pulmonary eosinophilia,8
Mastitis fungal,4
Strangury,2
Blood follicle stimulating hormone increased,9
"Follicle centre lymphoma, follicular grade I, II, III recurrent",1
Pulmonary malformation,18
Aspergilloma,10
Glucocorticoid deficiency,5
Gonadotrophin deficiency,2
Thermophobia,2
Subcorneal pustular dermatosis,4
Manufacturing issue,11
Intensive care,25
Bleeding time abnormal,3
Tracheo-oesophageal fistula,15
Prostatic obstruction,3
Gallbladder polyp,10
Aspiration joint,3
Biopsy colon,1
Electric injury,1
Scedosporium infection,30
Sigmoidoscopy,1
Dental restoration failure,14
Microembolism,2
Phonophobia,3
Hypouricaemia,7
Mycoplasma infection,12
EGFR gene mutation,21
Blast cell crisis,12
Angiosarcoma,12
Enzyme level decreased,2
Cauda equina syndrome,13
Epidural lipomatosis,6
Skin hypopigmentation,107
Anaemia neonatal,14
Hypertension neonatal,3
Kidney small,28
Potter's syndrome,4
Pulmonary hypoplasia,13
Renal failure neonatal,8
Teeth brittle,25
Bladder mass,14
Antisocial personality disorder,3
Economic problem,558
Gambling disorder,54
Impulse-control disorder,30
Psychosexual disorder,6
Micturition frequency decreased,24
Threat of redundancy,1
Rhesus incompatibility,8
Tracheal disorder,9
Tracheal injury,3
Tracheal stenosis,7
Tuberculosis gastrointestinal,6
Extraocular muscle paresis,22
Saccadic eye movement,3
Oppositional defiant disorder,2
Lack of spontaneous speech,5
Bankruptcy,6
Latent autoimmune diabetes in adults,9
Hepatitis C RNA increased,7
Angiocentric lymphoma,21
Cranial nerve palsies multiple,8
Infection prophylaxis,2
Medical device removal,24
Schizoaffective disorder,20
Alpha 1 globulin increased,3
Alpha 2 globulin increased,1
Cold agglutinins positive,2
Superior mesenteric artery syndrome,12
Thyroid adenoma,5
B-cell lymphoma recurrent,15
Pubic pain,3
Tongue pigmentation,2
Hepatic haematoma,9
Genital herpes zoster,3
Adrenal suppression,19
Primary adrenal insufficiency,3
Embolic cerebral infarction,16
Superinfection bacterial,12
Hyperbilirubinaemia neonatal,6
Poor feeding infant,28
Tachycardia foetal,19
Weight decrease neonatal,8
Allergy to plants,7
Thirst decreased,13
Conversion disorder,19
Alpha 2 globulin decreased,3
Androgen insensitivity syndrome,3
Blood bilirubin unconjugated increased,15
Creatinine urine decreased,3
Dehydroepiandrosterone decreased,9
Faecal calprotectin,3
Free androgen index decreased,3
Hypogonadism male,9
Hypothalamo-pituitary disorder,70
Inner ear disorder,22
Myotonic dystrophy,3
Polymyositis,29
Prostatic calcification,7
Sex hormone binding globulin decreased,3
Testicular microlithiasis,3
Urine calcium/creatinine ratio increased,5
Urine phosphorus decreased,3
Viral acanthoma,3
Cementoplasty,1
Benign neoplasm of skin,12
Carbohydrate antigen 27.29 increased,5
Oesophageal irritation,9
Hypoglycaemic encephalopathy,7
Atelectasis neonatal,4
Bronchopulmonary dysplasia,15
Congenital diaphragmatic hernia,14
Deafness bilateral,27
Gastroschisis,15
Hernia congenital,1
Intestinal malrotation,2
Neonatal hypoxia,37
Urinary tract infection neonatal,1
Nutritional condition abnormal,16
Mucosal haemorrhage,15
Nuclear magnetic resonance imaging thoracic abnormal,4
Tracheobronchitis bacterial,2
Steroid withdrawal syndrome,36
Stroke in evolution,11
Dose calculation error,22
Spinal instability,18
Myocardial depression,13
Blood electrolytes abnormal,22
Amyotrophic lateral sclerosis,33
Upper motor neurone lesion,4
Device stimulation issue,2
Retinal deposits,1
Device extension damage,1
Anal ulcer,15
Alcoholic pancreatitis,6
Genital hypoaesthesia,11
Shortened cervix,7
Breast calcifications,15
Butterfly rash,23
Cerebellar tumour,4
Malignant neoplasm of unknown primary site,11
Acute lymphocytic leukaemia recurrent,54
Sleep study,3
Claustrophobia,20
Euglycaemic diabetic ketoacidosis,107
Post procedural pneumonia,5
Hypoglycaemia neonatal,20
Numb chin syndrome,1
Synovial cyst removal,2
Neonatal disorder,6
Orthostatic intolerance,16
Alcohol detoxification,3
Dawn phenomenon,3
Fructosamine increased,2
Chest wall tumour,5
Lipids abnormal,18
Hypertrichosis,54
Myoglobinuria,9
Hepatitis cholestatic,131
Anion gap decreased,6
Air embolism,11
Chillblains,4
Phaeohyphomycosis,23
Chalazion,14
Eyelid thickening,7
Peripheral circulatory failure,6
Plicated tongue,13
Sarcoma metastatic,1
Injection site dermatitis,2
Catheter site nodule,2
Cryptogenic cirrhosis,1
Change in seizure presentation,12
Herpes simplex encephalitis,6
Psychotic symptom,64
Dysdiadochokinesis,4
Nuclear magnetic resonance imaging brain abnormal,23
Vitamin B1 decreased,6
Wernicke's encephalopathy,12
T-cell lymphoma stage IV,18
Thrombectomy,7
Acute myeloid leukaemia recurrent,29
Radiotherapy,48
Ear injury,11
Compulsions,6
Fistula inflammation,4
Stoma site induration,12
Pharyngeal mass,10
Protrusion tongue,15
Cardiac pseudoaneurysm,1
Alveolitis,30
Oestradiol increased,8
Glassy eyes,19
Homeless,12
Anticoagulation drug level below therapeutic,17
Peritoneal carcinoma metastatic,1
Brugada syndrome,28
Nephrogenic diabetes insipidus,14
Bronchial wall thickening,23
Vitamin E decreased,2
Coronary bypass stenosis,1
Rheumatic heart disease,2
Urinary tract infection fungal,20
Pyopneumothorax,4
Vulvovaginitis,13
Poverty of speech,12
Injection site laceration,10
Scarlet fever,7
Instillation site pruritus,18
AIDS cholangiopathy,1
Decreased insulin requirement,3
Total lung capacity increased,11
Burkitt's lymphoma,18
Pneumonia cytomegaloviral,34
Chronic graft versus host disease in intestine,5
Dacryostenosis acquired,22
Eyelid rash,15
Product odour abnormal,173
Intensive care unit acquired weakness,7
Lip erosion,11
Mucosal necrosis,3
Respiratory fatigue,5
Gastrointestinal viral infection,28
Blood osmolarity decreased,14
Nocardiosis,47
Globulins decreased,5
Renal atrophy,63
Urinary fistula,12
Subchondral insufficiency fracture,8
Allogenic stem cell transplantation,4
Polymerase chain reaction,3
Scrotal inflammation,4
Heart block congenital,3
Lupus pneumonitis,5
Blood culture positive,23
Renal haemorrhage,47
Pulmonary resection,8
Small cell lung cancer limited stage,1
Gingival ulceration,9
Labile hypertension,9
Malignant neoplasm of thymus,4
Acute cutaneous lupus erythematosus,3
Brain scan abnormal,5
Adenocarcinoma gastric,15
Incarcerated hernia,14
Rabbit syndrome,4
Dyskinesia oesophageal,4
Periorbital haematoma,1
Blood oestrogen increased,13
Adrenalitis,4
Rash papulosquamous,1
Menstruation delayed,198
Chromatopsia,9
Metastatic carcinoma of the bladder,6
Cardiac pacemaker adjustment,4
Irregular sleep phase,7
Female sexual arousal disorder,4
Rheumatoid factor,7
Skin laxity,11
"Bladder cancer stage 0, with cancer in situ",2
Resting tremor,31
Adjusted calcium increased,5
Bilirubin urine present,10
Bladder adenocarcinoma stage unspecified,6
Axial spondyloarthritis,10
Chronic idiopathic pain syndrome,2
Heart valve replacement,23
Gastric banding,6
Post procedural diarrhoea,14
Renal artery arteriosclerosis,13
Oropharyngeal surgery,2
Lip squamous cell carcinoma,5
Biliary tract dilation procedure,1
Flight of ideas,6
Pelvic venous thrombosis,26
Portal vein embolisation,2
Spinal cord haematoma,2
Vitamin K deficiency,17
Intrauterine contraception,1
Syphilis,23
Nicotine dependence,83
Fear of eating,6
Heart valve calcification,7
Lymph node tuberculosis,14
Ephelides,8
Implant site thrombosis,2
Hyperferritinaemia,14
Alveolar osteitis,10
Product packaging difficult to open,57
Malpositioned teeth,5
Graft versus host disease in gastrointestinal tract,67
Graft versus host disease in liver,9
Gallbladder cholesterolosis,15
Haemorrhagic ascites,6
Epileptic encephalopathy,3
Lip neoplasm malignant stage unspecified,3
Hyperkinetic heart syndrome,4
Hypoxic-ischaemic encephalopathy,50
Exanthema subitum,1
Orgasm abnormal,17
Prehypertension,5
Rectosigmoid cancer,9
Vocal cord leukoplakia,1
Milk-alkali syndrome,19
Eyelash changes,8
Inadequate diet,8
Pica,3
Urethral repair,1
Anaemia folate deficiency,2
Anaemia vitamin B12 deficiency,4
Meningitis chemical,7
Ventricular drainage,2
Ketosis,25
Thyroglobulin increased,6
Xeroderma,4
Perineal cellulitis,3
Perihepatic abscess,3
Nasal septum perforation,10
Abdominal sepsis,10
Eyelid injury,5
Immunoglobulins abnormal,3
Aortic rupture,6
Culture stool positive,5
Rectal discharge,26
Infective aneurysm,13
Ocular sarcoidosis,1
Alcohol withdrawal syndrome,20
Idiopathic angioedema,4
Occult blood,9
Lip exfoliation,23
Gastric cancer recurrent,5
Scleroderma associated digital ulcer,3
Neurosurgery,2
Anal atresia,6
Oesophageal atresia,28
Arrested labour,2
Cow's milk intolerance,12
Musculoskeletal deformity,16
Anastomotic complication,9
Neonatal respiratory failure,18
Joint prosthesis user,2
Product tampering,11
Alcoholic liver disease,14
Oropharyngeal spasm,6
Teratogenicity,20
Pseudocyst,5
Neurodermatitis,16
Occupational dermatitis,2
Occupational exposure to air contaminants,1
Pregnancy on oral contraceptive,27
Product contamination microbial,17
Prostatic adenoma,6
Upper respiratory tract endoscopy,1
Urine albumin/creatinine ratio abnormal,3
Lymphoid tissue hypoplasia,3
Mycobacterium chelonae infection,32
Thymus hypoplasia,3
Positron emission tomogram abnormal,10
Coagulation factor increased,4
Ultrasound scan abnormal,7
Gastric cancer stage IV,6
Systemic immune activation,7
Tonsillitis bacterial,7
Tracheal pain,2
Metastases to bone marrow,11
Neuroendocrine tumour of the lung,7
Cardiac monitoring,7
Gastrointestinal mucosal disorder,7
Metaplasia,8
CSF glucose decreased,3
Xanthochromia,1
Aortic valve prolapse,2
Mucosal infection,5
Engraft failure,4
Mitochondrial toxicity,35
Blood pH increased,9
CD4/CD8 ratio decreased,2
Eosinophilic pneumonia acute,12
PCO2 decreased,16
Respiratory tract irritation,26
Felty's syndrome,4
Open reduction of fracture,6
White blood cells urine,3
Pregnancy after post coital contraception,52
Hyperarousal,1
Psychogenic tremor,2
Thymoma malignant recurrent,2
Hypervigilance,17
Poliomyelitis,1
Abscess bacterial,16
Amyloidosis,38
Secondary amyloidosis,5
Red blood cell analysis abnormal,1
Red cell distribution width abnormal,2
Electrocardiogram QRS complex abnormal,7
Catheter site thrombosis,7
Acquired apparent mineralocorticoid excess,1
Aeromonas infection,12
Anorectal swelling,3
Amaurosis,16
Stent malfunction,6
Infusion site nodule,20
Spinal cord oedema,12
Medical device site eczema,1
Cardiorenal syndrome,39
Post cardiac arrest syndrome,3
Bulbar palsy,8
Pituitary-dependent Cushing's syndrome,2
Post-injection delirium sedation syndrome,39
Disseminated tuberculosis,46
Hilar lymphadenopathy,14
Viral haemorrhagic cystitis,23
Malacoplakia gastrointestinal,3
Rhodococcus infection,5
Vaginal cyst,8
Urethral disorder,11
Vulvovaginal erythema,25
Vulvovaginal swelling,41
Leiomyosarcoma,5
Intestinal transit time decreased,3
Malignant anorectal neoplasm,3
Pulse pressure decreased,1
Genital candidiasis,6
Zinc deficiency,8
Abnormal withdrawal bleeding,9
Plantar erythema,9
Medical device site pain,15
Pleuropericarditis,7
Airway complication of anaesthesia,2
Automatic bladder,4
Gangrene neonatal,1
Urine cannabinoids increased,4
Muscle haemorrhage,27
Urticaria thermal,8
Onychalgia,20
Tongue exfoliation,8
Lymphocytic infiltration,25
Prothrombin level decreased,15
Atrial thrombosis,46
Pregnancy with contraceptive device,162
Premature recovery from anaesthesia,2
Neisseria infection,2
Propionibacterium infection,15
Stomatococcal infection,6
Streptococcal urinary tract infection,3
Ecthyma,12
Arteriovenous fistula operation,10
Device interaction,4
Mechanical ventilation,32
Intercepted medication error,53
Postmortem blood drug level abnormal,14
Tongue fungal infection,9
Female orgasmic disorder,8
Peripheral nerve operation,2
Leriche syndrome,3
Vascular graft thrombosis,2
Small intestine carcinoma,11
Diabetic macroangiopathy,5
Tonsillar disorder,13
Aortic aneurysm rupture,19
Refusal of examination,2
Burns first degree,5
Neutrophil function disorder,2
Fear-related avoidance of activities,5
Abulia,22
Leukaemic infiltration hepatic,1
Bartholin's abscess,6
Adrenal cortex necrosis,1
Disease risk factor,8
Intestinal adenocarcinoma,4
Liver tenderness,2
Galactostasis,2
Squamous cell carcinoma of lung,27
Foetal hypokinesia,9
Hypercreatinaemia,14
Carbohydrate antigen 15-3 increased,14
Bronchial oedema,3
Wound abscess,9
Peritoneal adhesions,3
Systolic hypertension,12
Instillation site discharge,5
Pseudofolliculitis,10
Colostomy closure,4
Eastern Cooperative Oncology Group performance status,3
Blindness cortical,12
Polyomavirus-associated nephropathy,56
Engraftment syndrome,11
Transfusion reaction,17
Pseudoporphyria,4
Conjunctival deposit,1
Hepatobiliary disease,17
Intestinal operation,25
Sleep attacks,7
Caecectomy,1
Ileectomy,8
Gastrointestinal tract mucosal discolouration,4
Gastrointestinal fungal infection,12
Mucosal erosion,15
Plasma cell leukaemia,12
Mole excision,4
Blood gonadotrophin decreased,1
Carotid arteriosclerosis,12
Degenerative mitral valve disease,6
Myocardial bridging,2
Sinus rhythm,15
Venous pressure increased,1
Cartilage atrophy,17
Accommodation disorder,11
Inability to crawl,1
Product dropper issue,33
Fournier's gangrene,138
Delusion of grandeur,5
Negativism,10
Pancreas infection,8
Peripheral paralysis,3
Human epidermal growth factor receptor decreased,2
Factor VIII inhibition,23
Joint hyperextension,3
Victim of homicide,6
Lip haemorrhage,27
Saliva discolouration,6
Acute right ventricular failure,3
Respiratory tract haemorrhage,23
Enterovirus infection,16
Prostate cancer recurrent,14
Gingival discomfort,24
Hyaluronic acid increased,1
Exhibitionism,2
Retinal vascular thrombosis,10
Meningococcal bacteraemia,4
Herpes zoster oticus,12
Colorectal cancer metastatic,27
Progressive external ophthalmoplegia,9
Androgen deficiency,12
Anti-androgen withdrawal syndrome,1
Benign tumour excision,2
Dermatitis artefacta,1
Disorder of orbit,7
Genital burning sensation,32
Genital paraesthesia,10
Histamine intolerance,11
Pelvic organ injury,1
Secondary hypogonadism,7
Spermatozoa abnormal,4
Testicular atrophy,13
Allergic gastroenteritis,1
Duodenal neoplasm,4
Pulmonary interstitial emphysema syndrome,2
Cancer in remission,5
Lesion excision,2
Biopsy breast,3
Food aversion,27
Transferrin saturation,1
Vein discolouration,7
Drug withdrawal headache,11
Congenital scoliosis,2
Nasal turbinate hypertrophy,7
Pulmonary vein occlusion,2
Staphylococcus test,3
Encephalitis toxic,2
Porencephaly,2
Antipsychotic drug level increased,53
Coeliac artery occlusion,2
Urinary bladder polyp,8
Parkinsonian gait,14
Normochromic normocytic anaemia,32
H3N2 influenza,1
Neural tube defect,13
Cutaneous sarcoidosis,11
Chronic right ventricular failure,2
Endoscopy abnormal,2
Iatrogenic injury,7
Bone operation,7
Mucosal discolouration,23
Alcohol use disorder,7
Hyperleukocytosis,40
Myasthenic syndrome,11
Exposure via skin contact,83
Electrocardiogram QT interval abnormal,10
Metastases to larynx,1
Metastases to oesophagus,2
Metastases to trachea,1
Poorly differentiated thyroid carcinoma,1
Tooth discolouration,34
Pericarditis tuberculous,2
Tumour pseudoprogression,33
Macular detachment,4
Sebaceous gland infection,6
Bronchial neoplasm,3
Intertrigo,14
Mediastinal disorder,4
Miller Fisher syndrome,4
Limbic encephalitis,10
Vaginal cancer,4
Laryngospasm,84
Enterococcal bacteraemia,18
Ischaemic cerebral infarction,22
Alveolar proteinosis,6
Acute polyneuropathy,6
Large intestine erosion,2
Ear infection fungal,7
Hypobarism,5
Pantothenic acid deficiency,1
Splenic lesion,5
West Nile viral infection,20
Eye laser surgery,9
Agraphia,12
Pancreatic neuroendocrine tumour,18
Splenic embolism,1
Gastrointestinal stoma necrosis,2
Stoma site ulcer,5
Vasculitic ulcer,3
Arteriovenous fistula site complication,5
Depersonalisation/derealisation disorder,58
Systemic candida,47
Parkinson's disease psychosis,5
External ear cellulitis,4
JC virus granule cell neuronopathy,1
Twin pregnancy,17
Bundle branch block bilateral,1
Eosinophilic bronchitis,11
Hand-eye coordination impaired,9
Eye paraesthesia,4
Venous perforation,4
Coronavirus test positive,2
Bacterial pyelonephritis,15
Application site inflammation,23
Catheter site dryness,4
Partner stress,8
Eosinophilic cystitis,7
Lip disorder,30
Globulin abnormal,5
Biopsy lymph gland,2
Acute hepatitis B,12
Histoplasmosis disseminated,19
Nail dystrophy,18
Hepatitis B core antibody positive,9
Haematological malignancy,15
Counterfeit product administered,19
Product outer packaging issue,14
Abdominal wall mass,3
Escherichia pyelonephritis,7
Locked-in syndrome,10
Mean cell haemoglobin,3
Platelet aggregation increased,1
Glomerular filtration rate,2
Granulocyte percentage,2
Salpingo-oophorectomy unilateral,7
Implant site infection,47
Belligerence,8
Thrombotic cerebral infarction,15
Congenital absence of bile ducts,5
Instillation site haemorrhage,1
Punctate keratitis,19
Blood urine,9
Urogenital fistula,3
Palpable purpura,2
Nonalcoholic fatty liver disease,21
Buccal mucosal roughening,4
Neoplasm of appendix,6
Neurectomy,3
Lung transplant rejection,12
Cervical cyst,8
Subchorionic haematoma,5
Urine leukocyte esterase,3
Fractured sacrum,30
Toxic encephalopathy,120
Hysterosalpingo-oophorectomy,2
Feeding intolerance,15
Papilloma viral infection,21
Congenital disorder of glycosylation,1
Thyroid stimulating hormone deficiency,1
Corneal deposits,7
Nephrosclerosis,97
Device dependence,22
Nephritic syndrome,12
IgA nephropathy,39
Intercapillary glomerulosclerosis,3
Oesophageal obstruction,18
Upper respiratory fungal infection,14
Oesophageal haemorrhage,21
Infusion site urticaria,10
Adrenal cyst,3
Oncologic complication,17
Blood 25-hydroxycholecalciferol,1
Bone deformity,15
Vitamin D abnormal,7
Anticholinergic syndrome,26
Nephrostomy,10
Muscle necrosis,10
Out of specification test results,3
Nipple swelling,5
Acute graft versus host disease in skin,33
Chronic graft versus host disease in skin,23
Acquired cystic kidney disease,6
Ureteral disorder,16
Angiodysplasia,9
Leishmaniasis,21
Asteatosis,3
Salivary gland neoplasm,10
Blood triglycerides decreased,7
Papilloma,9
Thyroiditis chronic,3
Application site burn,71
Microalbuminuria,33
Renal adenoma,1
Diabetic foot infection,58
Limb amputation,33
Oesophageal operation,4
Alice in wonderland syndrome,2
Costovertebral angle tenderness,9
Osteitis deformans,4
Breast ulceration,3
Diaphragmalgia,5
Splenic neoplasm malignancy unspecified,3
Acquired diaphragmatic eventration,11
Meningitis pneumococcal,7
Retroperitoneal haematoma,39
Central cord syndrome,1
Spinal cord infarction,7
Mean arterial pressure decreased,4
Tongue neoplasm,7
Cardiac infection,16
Graft versus host disease in lung,15
Eczema eyelids,6
Eyelids pruritus,43
Injection site scab,21
Benzodiazepine drug level increased,13
Opiates positive,25
Postmortem blood drug level increased,24
Neoplasm prostate,9
Diverticulitis intestinal haemorrhagic,5
Listeraemia,2
Nonreassuring foetal heart rate pattern,6
Mesangioproliferative glomerulonephritis,4
Focal segmental glomerulosclerosis,37
Pulmonary renal syndrome,18
Transplant,31
Catheter removal,8
Transitional cell carcinoma,28
Nodular regenerative hyperplasia,10
Device pacing issue,3
Injection site plaque,7
Autoimmune myositis,3
Oesophageal hypomotility,5
Organ transplant,2
Small intestine transplant,1
Pulmonary arterial wedge pressure increased,6
Fractured ischium,2
Diabetic end stage renal disease,3
Renal surgery,10
Renal hypertrophy,5
Bone atrophy,5
Pharyngeal necrosis,1
Ophthalmic vein thrombosis,8
Tissue injury,25
Blood bicarbonate increased,6
Cardiac pacemaker replacement,9
Cardiac rehabilitation therapy,1
Diaphragmatic disorder,11
Instillation site foreign body sensation,6
Lumbosacral plexopathy,1
Groin abscess,20
Premature ageing,5
Metastatic gastric cancer,13
Cerebellar infarction,29
Schizotypal personality disorder,1
Culture wound,1
Skin graft,13
Carotid artery disease,33
Post inflammatory pigmentation change,10
Hydroureter,10
Pyelonephritis fungal,2
Pelvic kidney,3
CSF lactate increased,2
Chondritis,9
Feelings of worthlessness,11
Graft versus host disease in eye,11
Monocyte count abnormal,6
Penile haemorrhage,12
Putamen haemorrhage,10
Tuberculoma of central nervous system,3
Kidney duplex,3
Analgesic drug level increased,36
Blood lactic acid decreased,2
Blunted affect,13
Coagulation factor V level decreased,7
Manufacturing materials issue,15
Dermatochalasis,1
Arcus lipoides,1
Corneal opacity,25
Glomerular vascular disorder,4
Missed labour,1
BRAF gene mutation,9
Metal poisoning,10
Radical mastectomy,2
Cystitis haemorrhagic,74
Perineal rash,5
Acquired growth hormone resistance,2
Blood mercury abnormal,2
Renal haemangioma,161
Hepatic artery stenosis,2
Alveolar bone resorption,7
Blood pH decreased,22
Venous stent insertion,6
Central nervous system viral infection,5
Lipids,2
Hemianopia heteronymous,2
Renal arteriosclerosis,3
Pyelonephritis chronic,7
Coronary artery embolism,2
Fungal endocarditis,5
Thalamic infarction,13
Haemorrhagic erosive gastritis,4
Glomerulonephritis acute,10
Subdural empyema,3
Pneumonia haemophilus,11
Anal injury,10
Visual acuity tests abnormal,4
Blepharophimosis,1
Obstructive nephropathy,13
Pelvi-ureteric obstruction,4
Infective glossitis,4
Gastrointestinal stenosis,15
Colitis erosive,3
Chronic recurrent multifocal osteomyelitis,3
Periprosthetic fracture,5
Physical product label issue,20
Balanoposthitis,14
Acute disseminated encephalomyelitis,5
Cerebellar haemangioma,1
Hyperchloraemia,17
Haematology test abnormal,14
Platelet aggregation,2
Occipital neuralgia,13
Endometrial disorder,7
Speech sound disorder,5
Hypertensive emergency,8
Heart alternation,1
Benign abdominal neoplasm,5
Chest expansion decreased,6
Toxoplasmosis,10
Heart transplant,23
Lung assist device therapy,3
Bone metabolism disorder,7
Fungal abscess central nervous system,2
Vascular procedure complication,4
Wrong patient received product,108
Forced expiratory volume,1
Parathyroid gland enlargement,4
Whipple's disease,5
Oesophageal injury,7
Rheumatoid factor increased,29
Epinephrine decreased,5
Tooth dislocation,3
Carotid artery dissection,5
Stoma site hypersensitivity,1
Faecal calprotectin abnormal,7
Biopsy breast abnormal,1
Blood urea nitrogen/creatinine ratio decreased,5
Breast conserving surgery,14
Implant site discolouration,5
Acute promyelocytic leukaemia,11
Application site warmth,16
Vulval cancer stage III,1
Airway peak pressure increased,9
Status asthmaticus,12
Neurosarcoidosis,8
Endometrial hyperplasia,11
Ear deformity acquired,3
Chronic hepatitis C,7
Infantile back arching,4
Bezoar,44
Colon dysplasia,9
Complement factor C3 increased,1
Complement factor C4 increased,1
Hypergammaglobulinaemia,9
Product monitoring error,20
Necrotising myositis,24
Exposure via partner,15
Atrial pressure increased,2
Alpha-1 anti-trypsin deficiency,3
Bone callus excessive,8
Fungal sepsis,15
Hyperparathyroidism,28
Immediate post-injection reaction,29
Delivery,5
Hypoglossal nerve paresis,4
Kidney angiomyolipoma,5
Renal embolism,6
Colorectal adenocarcinoma,5
Device electrical finding,1
Gait spastic,2
Blood creatine abnormal,7
Dermatitis exfoliative,41
Procalcitonin increased,29
Suspected transmission of an infectious agent via product,32
Application site nodule,2
Renal ischaemia,19
Cellulitis gangrenous,5
Application site necrosis,4
Familial cold autoinflammatory syndrome,1
Clostridium colitis,8
Hyperviscosity syndrome,7
Blood testosterone increased,33
Oropharyngeal dysplasia,1
Cutaneous tuberculosis,3
Breech delivery,4
Mixed incontinence,2
Embolism arterial,13
Blood acid phosphatase increased,4
Chitotriosidase increased,2
Medical device site injury,8
Cystitis-like symptom,1
Withdrawal bleed,12
Otosclerosis,1
Adrenogenital syndrome,2
Virilism,1
Urticaria pigmentosa,3
Focal nodular hyperplasia,15
Sexual activity increased,1
Maternal exposure during delivery,10
Gastroenteritis clostridial,9
Lumbosacral plexus lesion,1
Placental insufficiency,8
Graft complication,9
Periportal oedema,2
Hepatic dysplasia,1
Pulmonary veno-occlusive disease,9
Gastric mucosal hypertrophy,6
Articular calcification,4
Surgical procedure repeated,8
Tongue neoplasm benign,2
Foetal warfarin syndrome,2
Morphoea,8
Accidental death,24
Antidepressant drug level above therapeutic,16
Anterograde amnesia,13
Fungating wound,1
Bradycardia neonatal,31
Bronchitis mycoplasmal,1
Pulmonary valve stenosis congenital,7
Analgesic drug level above therapeutic,10
Antinuclear antibody,6
Unevaluable investigation,7
Metastases to soft tissue,12
Victim of sexual abuse,8
Cryopyrin associated periodic syndrome,7
Antithrombin III decreased,11
Meningioma benign,7
Angle closure glaucoma,39
Root canal infection,13
Bladder trabeculation,1
Catheter site urticaria,1
Administration site scar,1
Rapidly progressive osteoarthritis,3
Ovarian cyst torsion,2
Pneumaturia,4
Neonatal seizure,15
Pulmonary aplasia,4
Syndactyly,15
Acquired Von Willebrand's disease,4
Spinal epidural haematoma,26
Neglect of personal appearance,10
Mixed liver injury,53
Hangnail,5
Malignant renal hypertension,3
Picornavirus infection,1
Acquired porokeratosis,1
Propofol infusion syndrome,8
Heart rate,2
Subclavian artery thrombosis,2
Medical device site necrosis,1
Pulmonary necrosis,7
Acquired haemophilia,29
Congenital nose malformation,7
Epiphyseal disorder,1
Aortic surgery,2
Coronary artery bypass,40
Postictal paralysis,4
Macular scar,4
Gastric hypertonia,1
Primary amyloidosis,2
Biopsy testes abnormal,1
Prostatic dysplasia,1
CSF test abnormal,13
Tumour rupture,14
Soft tissue neoplasm,2
Extradural abscess,10
Paramnesia,1
Corticobasal degeneration,1
Rubber sensitivity,31
Cardiac function test abnormal,8
Vascular graft occlusion,3
Application site hypoaesthesia,7
Rhabdomyoma,1
Victim of abuse,5
Medical device site joint infection,5
Fracture pain,21
Abdominal symptom,13
Pseudopolyposis,4
Ovarian adhesion,3
Needle track marks,8
Nail injury,13
Osteorrhagia,5
Macular cyst,1
Vitrectomy,17
Hyphaema,5
IIIrd nerve paralysis,19
Personal relationship issue,9
Visceral congestion,21
Food refusal,28
Gastrointestinal mucosal exfoliation,6
Systolic dysfunction,39
Patient isolation,3
Congenital nephrotic syndrome,1
Lipohypertrophy,22
Muckle-Wells syndrome,3
Serum amyloid A protein increased,5
Hypertensive cardiomyopathy,8
Administration site injury,3
Uterine inflammation,3
Herpangina,1
Meningitis streptococcal,9
Administration site movement impairment,1
Arterial stenosis,25
Chronic hepatic failure,7
Cirrhosis alcoholic,10
Hypersplenism,5
Oesophageal variceal ligation,1
Portal shunt procedure,2
Thromboembolectomy,5
Toxic shock syndrome streptococcal,9
Autoimmune lung disease,4
